rank,dead,level,class,experience,challenges,twitch,ladder
20,FALSE,100,Gladiator,4250334444,34,coolgav,Hardcore Harbinger
20,FALSE,99,Necromancer,4009950532,27,null,SSF Harbinger
21,TRUE,99,Slayer,4029218392,35,vcovre,SSF Harbinger HC
21,FALSE,99,Berserker,3949658781,37,null,SSF Harbinger
21,FALSE,100,Pathfinder,4250334444,25,qstep,Hardcore Harbinger
21,FALSE,100,Elementalist,4250334444,32,zeebra_tv,Harbinger
22,FALSE,100,Inquisitor,4250334444,36,chromist,Harbinger
22,FALSE,98,Chieftain,3888472082,37,null,SSF Harbinger
22,FALSE,99,Trickster,3997820317,25,null,SSF Harbinger HC
22,FALSE,100,Necromancer,4250334444,30,sfhobbit,Hardcore Harbinger
23,FALSE,100,Inquisitor,4250334444,40,parahai,Harbinger
23,FALSE,98,Pathfinder,3791654995,39,satanamjay,SSF Harbinger
23,TRUE,98,Necromancer,3842924872,36,ihave13gp,SSF Harbinger HC
23,FALSE,100,Gladiator,4250334444,30,cpack,Hardcore Harbinger
24,FALSE,98,Trickster,3773770263,31,null,SSF Harbinger
24,FALSE,100,Slayer,4250334444,40,jasonrawr,Harbinger
24,TRUE,98,Inquisitor,3837129479,24,fredrick1337,SSF Harbinger HC
24,FALSE,100,Gladiator,4250334444,34,null,Hardcore Harbinger
25,FALSE,98,Pathfinder,3758654236,32,null,SSF Harbinger
25,FALSE,100,Necromancer,4250334444,39,chuxterr,Harbinger
25,TRUE,98,Raider,3813778355,23,null,SSF Harbinger HC
25,FALSE,100,Guardian,4250334444,28,snkort,Hardcore Harbinger
26,FALSE,98,Raider,3773415535,25,cybagames,SSF Harbinger HC
26,FALSE,100,Pathfinder,4250334444,29,andrikayaya,Harbinger
26,FALSE,98,Trickster,3757761497,38,null,SSF Harbinger
26,FALSE,100,Saboteur,4250334444,24,tomdwan_,Hardcore Harbinger
27,TRUE,98,Necromancer,3766531293,37,krtffs,SSF Harbinger HC
27,FALSE,100,Ascendant,4250334444,25,null,Hardcore Harbinger
27,FALSE,98,Raider,3717328074,37,null,SSF Harbinger
27,FALSE,100,Raider,4250334444,37,melphys29,Harbinger
28,FALSE,98,Necromancer,3751257279,24,null,SSF Harbinger HC
28,FALSE,100,Berserker,4250334444,24,null,Harbinger
28,FALSE,98,Berserker,3688485608,28,null,SSF Harbinger
28,FALSE,100,Berserker,4250334444,34,craeburn,Hardcore Harbinger
29,FALSE,98,Necromancer,3682758404,31,null,SSF Harbinger
29,FALSE,100,Inquisitor,4250334444,37,eduwz,Hardcore Harbinger
29,TRUE,98,Slayer,3716983627,28,joschn,SSF Harbinger HC
29,FALSE,100,Berserker,4250334444,18,null,Harbinger
30,FALSE,100,Saboteur,4250334444,30,distq,Hardcore Harbinger
30,FALSE,98,Necromancer,3662207742,29,null,SSF Harbinger
30,TRUE,98,Necromancer,3715467806,26,giskcom,SSF Harbinger HC
30,FALSE,100,Inquisitor,4250334444,27,waifugate,Harbinger
31,TRUE,98,Ascendant,3695345391,31,nugiyen,SSF Harbinger HC
31,FALSE,100,Occultist,4250334444,28,null,Harbinger
31,FALSE,100,Berserker,4250334444,24,null,Hardcore Harbinger
31,FALSE,98,Necromancer,3660936043,26,fenrix08,SSF Harbinger
32,TRUE,98,Trickster,3643079254,27,ses_chip,SSF Harbinger HC
32,FALSE,100,Gladiator,4250334444,22,null,Hardcore Harbinger
32,FALSE,98,Raider,3639576410,36,null,SSF Harbinger
32,FALSE,100,Guardian,4250334444,40,fredpoe,Harbinger
33,FALSE,100,Juggernaut,4250334444,36,gamerjoe23,Harbinger
33,TRUE,97,Necromancer,3606538211,38,theuberelite,SSF Harbinger HC
33,FALSE,100,Inquisitor,4250334444,23,me_bobo,Hardcore Harbinger
33,FALSE,98,Gladiator,3638413591,36,null,SSF Harbinger
34,TRUE,97,Necromancer,3571460698,37,null,SSF Harbinger HC
34,FALSE,97,Berserker,3595397541,32,null,SSF Harbinger
34,FALSE,100,Gladiator,4250334444,22,null,Hardcore Harbinger
34,FALSE,100,Ascendant,4250334444,28,null,Harbinger
35,FALSE,97,Berserker,3564680342,29,null,SSF Harbinger
35,FALSE,100,Ascendant,4250334444,37,null,Harbinger
35,FALSE,100,Trickster,4250334444,24,mintedclover,Hardcore Harbinger
35,TRUE,97,Trickster,3554570158,26,hasteguy,SSF Harbinger HC
36,FALSE,100,Raider,4250334444,29,emijung,Harbinger
36,TRUE,97,Saboteur,3550098613,24,gorillajoose,SSF Harbinger HC
36,FALSE,97,Necromancer,3556422864,30,null,SSF Harbinger
36,FALSE,100,Necromancer,4250334444,36,null,Hardcore Harbinger
37,FALSE,100,Slayer,4250334444,36,null,Hardcore Harbinger
37,FALSE,100,Pathfinder,4250334444,29,leichenschnitzel,Harbinger
37,FALSE,97,Hierophant,3501905114,26,null,SSF Harbinger HC
37,FALSE,97,Berserker,3511963871,30,exhorder,SSF Harbinger
38,FALSE,97,Saboteur,3495406193,28,null,SSF Harbinger HC
38,FALSE,100,Slayer,4250334444,36,null,Harbinger
38,FALSE,97,Trickster,3484312483,35,null,SSF Harbinger
38,FALSE,100,Trickster,4250334444,25,null,Hardcore Harbinger
39,TRUE,97,Hierophant,3480353004,26,null,SSF Harbinger HC
39,FALSE,100,Inquisitor,4250334444,40,masteeeer,Harbinger
39,FALSE,100,Trickster,4250334444,40,wby87,Hardcore Harbinger
39,FALSE,97,Gladiator,3482428693,26,null,SSF Harbinger
40,FALSE,97,Guardian,3477007517,29,rnorth2,SSF Harbinger
40,TRUE,97,Chieftain,3471703249,28,null,SSF Harbinger HC
40,FALSE,100,Deadeye,4250334444,36,mpnsz,Hardcore Harbinger
40,FALSE,100,Trickster,4250334444,36,null,Harbinger
41,FALSE,97,Berserker,3467900966,28,null,SSF Harbinger
41,TRUE,100,Necromancer,4250334444,36,kgbdota,Hardcore Harbinger
41,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
41,TRUE,97,Raider,3409358813,36,yoshixt,SSF Harbinger HC
42,FALSE,97,Raider,3443650356,40,null,SSF Harbinger
42,FALSE,100,Ascendant,4250334444,36,null,Hardcore Harbinger
42,TRUE,97,Berserker,3396121152,36,belosnega,SSF Harbinger HC
42,FALSE,100,Berserker,4250334444,36,seanstream,Harbinger
43,FALSE,100,Gladiator,4250334444,40,brkstr,Hardcore Harbinger
43,FALSE,100,Raider,4250334444,37,null,Harbinger
43,FALSE,97,Gladiator,3424557734,25,null,SSF Harbinger
43,TRUE,97,Gladiator,3395532869,31,null,SSF Harbinger HC
44,FALSE,100,Pathfinder,4250334444,33,epictelevision,Harbinger
44,FALSE,97,Necromancer,3423366363,36,sandtwitchmaker,SSF Harbinger
44,TRUE,97,Gladiator,3391896015,33,null,SSF Harbinger HC
44,FALSE,100,Raider,4250334444,37,neverluckyinthisgame,Hardcore Harbinger
45,FALSE,97,Occultist,3404999273,31,null,SSF Harbinger
45,FALSE,100,Slayer,4250334444,27,schiltgaming,Hardcore Harbinger
45,TRUE,97,Necromancer,3364828162,40,null,SSF Harbinger HC
45,FALSE,100,Necromancer,4250334444,28,choppanda,Harbinger
46,FALSE,100,Berserker,4250334444,40,jthrowawaytwitch,Harbinger
46,FALSE,96,Necromancer,3339386040,31,nugiyen,SSF Harbinger HC
46,FALSE,100,Champion,4250334444,36,shockingtoasters,Hardcore Harbinger
46,FALSE,97,Necromancer,3404511562,37,35marijuanas,SSF Harbinger
47,FALSE,96,Ascendant,3328668086,27,drektarz,SSF Harbinger HC
47,FALSE,100,Inquisitor,4250334444,26,escalationx,Harbinger
47,FALSE,97,Trickster,3397496282,38,null,SSF Harbinger
47,FALSE,100,Slayer,4250334444,28,kin_ger,Hardcore Harbinger
48,TRUE,96,Elementalist,3297618155,25,null,SSF Harbinger HC
48,FALSE,97,Gladiator,3392707055,36,null,SSF Harbinger
48,FALSE,100,Raider,4250334444,36,yoshixt,Hardcore Harbinger
48,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
49,FALSE,100,Necromancer,4250334444,25,xarslol,Hardcore Harbinger
49,FALSE,97,Slayer,3387303963,25,null,SSF Harbinger
49,TRUE,96,Slayer,3258951644,26,null,SSF Harbinger HC
49,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
50,FALSE,97,Gladiator,3382877861,37,null,SSF Harbinger
50,FALSE,100,Slayer,4250334444,40,afrozeus,Harbinger
50,TRUE,96,Necromancer,3250628165,36,null,SSF Harbinger HC
50,FALSE,100,Necromancer,4250334444,40,null,Hardcore Harbinger
51,FALSE,100,Pathfinder,4250334444,33,null,Harbinger
51,TRUE,96,Occultist,3245351505,28,wuthow,SSF Harbinger HC
51,FALSE,97,Gladiator,3379258181,30,null,SSF Harbinger
51,FALSE,100,Necromancer,4250334444,29,dadi01,Hardcore Harbinger
52,FALSE,97,Raider,3378800502,35,null,SSF Harbinger
52,FALSE,100,Gladiator,4250334444,40,null,Harbinger
52,FALSE,96,Elementalist,3244549005,25,null,SSF Harbinger HC
52,FALSE,100,Ascendant,4250334444,26,equalycsgo,Hardcore Harbinger
53,FALSE,97,Berserker,3374903046,27,saurax97,SSF Harbinger
53,TRUE,100,Gladiator,4250334444,23,supermegajonson,Hardcore Harbinger
53,FALSE,100,Hierophant,4250334444,40,authentic1976,Harbinger
53,TRUE,96,Juggernaut,3225393514,28,null,SSF Harbinger HC
54,FALSE,100,Necromancer,4250334444,36,bipolarbear_,Hardcore Harbinger
54,TRUE,96,Gladiator,3222286036,24,egheo17,SSF Harbinger HC
54,FALSE,97,Gladiator,3373833855,32,vhbrpoe,SSF Harbinger
54,FALSE,100,Raider,4250334444,36,null,Harbinger
55,FALSE,100,Gladiator,4250334444,39,null,Harbinger
55,FALSE,96,Trickster,3200417290,36,null,SSF Harbinger HC
55,FALSE,100,Necromancer,4250334444,40,null,Hardcore Harbinger
55,FALSE,97,Pathfinder,3367301519,35,null,SSF Harbinger
56,FALSE,96,Berserker,3181147225,37,null,SSF Harbinger HC
56,FALSE,100,Necromancer,4250334444,36,remaiins,Hardcore Harbinger
56,FALSE,97,Juggernaut,3366873091,39,null,SSF Harbinger
56,FALSE,100,Occultist,4250334444,40,rypherious,Harbinger
57,TRUE,96,Champion,3162409220,32,null,SSF Harbinger HC
57,FALSE,100,Ascendant,4250334444,36,null,Hardcore Harbinger
