rank,dead,level,class,experience,challenges,twitch,ladder
581,FALSE,97,Berserker,3417473982,38,radx2,Hardcore Harbinger
582,TRUE,90,Juggernaut,2059870309,23,null,SSF Harbinger HC
582,FALSE,100,Pathfinder,4250334444,35,null,Harbinger
582,FALSE,92,Trickster,2417848794,36,top_zoz,SSF Harbinger
582,FALSE,97,Berserker,3417369009,26,null,Hardcore Harbinger
583,FALSE,100,Pathfinder,4250334444,30,null,Harbinger
583,TRUE,90,Trickster,2056210006,24,null,SSF Harbinger HC
583,FALSE,92,Berserker,2416016215,37,wearasmile,SSF Harbinger
583,TRUE,97,Saboteur,3416600304,28,null,Hardcore Harbinger
584,FALSE,92,Berserker,2413515863,24,null,SSF Harbinger
584,FALSE,90,Berserker,2055886389,36,tryxt,SSF Harbinger HC
584,TRUE,97,Berserker,3416373079,39,null,Hardcore Harbinger
584,FALSE,100,Raider,4250334444,24,null,Harbinger
585,FALSE,97,Necromancer,3410909963,30,shodlock,Hardcore Harbinger
585,TRUE,90,Champion,2053959777,24,null,SSF Harbinger HC
585,FALSE,92,Slayer,2409406282,27,null,SSF Harbinger
585,FALSE,100,Necromancer,4250334444,40,null,Harbinger
586,FALSE,92,Trickster,2405229411,31,null,SSF Harbinger
586,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
586,TRUE,90,Gladiator,2053258198,40,exalon19,SSF Harbinger HC
586,TRUE,97,Berserker,3410332611,30,midas6666,Hardcore Harbinger
587,FALSE,92,Gladiator,2405204490,26,null,SSF Harbinger
587,FALSE,100,Pathfinder,4250334444,40,abulatanichan,Harbinger
587,TRUE,90,Gladiator,2051643980,24,dethox42,SSF Harbinger HC
587,TRUE,97,Berserker,3410084356,26,null,Hardcore Harbinger
588,TRUE,90,Inquisitor,2051369638,25,kao_ling,SSF Harbinger HC
588,TRUE,97,Gladiator,3404143871,24,null,Hardcore Harbinger
588,FALSE,92,Inquisitor,2404230306,34,null,SSF Harbinger
588,FALSE,100,Gladiator,4250334444,40,jan_haa,Harbinger
589,FALSE,100,Pathfinder,4250334444,30,koukz,Harbinger
589,FALSE,90,Necromancer,2050274327,24,null,SSF Harbinger HC
589,FALSE,92,Necromancer,2402193388,29,dead1yshred,SSF Harbinger
589,TRUE,97,Raider,3402277238,39,kapiko1,Hardcore Harbinger
590,TRUE,90,Berserker,2048053773,25,kaio_twitch,SSF Harbinger HC
590,FALSE,92,Slayer,2402146411,28,null,SSF Harbinger
590,TRUE,97,Berserker,3401032810,27,null,Hardcore Harbinger
590,FALSE,100,Gladiator,4250334444,24,null,Harbinger
591,FALSE,100,Pathfinder,4250334444,27,null,Harbinger
591,FALSE,97,Necromancer,3400737654,31,smokinnpokin,Hardcore Harbinger
591,FALSE,92,Saboteur,2400203997,26,null,SSF Harbinger
591,FALSE,90,Slayer,2046890456,40,null,SSF Harbinger HC
592,FALSE,92,Ascendant,2398637557,40,pigfinger,SSF Harbinger
592,FALSE,100,Guardian,4250334444,40,null,Harbinger
592,FALSE,90,Gladiator,2046761603,35,null,SSF Harbinger HC
592,TRUE,97,Ascendant,3400544007,36,cacerdra,Hardcore Harbinger
593,TRUE,97,Berserker,3399764321,29,nihilisticape,Hardcore Harbinger
593,TRUE,90,Trickster,2042627272,36,null,SSF Harbinger HC
593,FALSE,92,Necromancer,2396486450,28,null,SSF Harbinger
593,FALSE,100,Chieftain,4250334444,40,faendris,Harbinger
594,FALSE,92,Raider,2394555104,25,null,SSF Harbinger
594,FALSE,100,Gladiator,4250334444,40,xafnikos,Harbinger
594,FALSE,90,Gladiator,2042308407,27,null,SSF Harbinger HC
594,TRUE,97,Pathfinder,3399647419,37,null,Hardcore Harbinger
595,TRUE,90,Slayer,2042205765,25,null,SSF Harbinger HC
595,FALSE,100,Raider,4250334444,36,gamerjoe23,Harbinger
595,FALSE,92,Juggernaut,2392605015,24,null,SSF Harbinger
595,TRUE,97,Necromancer,3398617854,27,null,Hardcore Harbinger
596,FALSE,90,Hierophant,2041860781,40,drslaughter89,SSF Harbinger HC
596,FALSE,97,Guardian,3396963275,25,null,Hardcore Harbinger
596,FALSE,92,Ascendant,2387882255,27,silver_key,SSF Harbinger
596,FALSE,100,Pathfinder,4250334444,22,pasanius,Harbinger
597,FALSE,100,Juggernaut,4250334444,40,null,Harbinger
597,FALSE,97,Hierophant,3393453415,28,null,Hardcore Harbinger
597,TRUE,90,Trickster,2041749998,25,null,SSF Harbinger HC
597,FALSE,92,Berserker,2384674909,29,null,SSF Harbinger
598,FALSE,100,Raider,4250334444,28,null,Harbinger
598,FALSE,90,Berserker,2041742034,24,rederonik,SSF Harbinger HC
598,FALSE,92,Hierophant,2384569808,22,null,SSF Harbinger
598,TRUE,97,Slayer,3392319419,36,null,Hardcore Harbinger
599,TRUE,90,Gladiator,2041174688,25,kortzon,SSF Harbinger HC
599,FALSE,100,Raider,4250334444,40,null,Harbinger
599,TRUE,97,Gladiator,3391040756,29,null,Hardcore Harbinger
599,FALSE,92,Ascendant,2382923563,36,null,SSF Harbinger
600,FALSE,92,Inquisitor,2381057008,20,null,SSF Harbinger
600,TRUE,90,Berserker,2040183816,36,belosnega,SSF Harbinger HC
600,FALSE,100,Berserker,4250334444,38,steventd7,Harbinger
600,TRUE,97,Inquisitor,3389452428,39,null,Hardcore Harbinger
601,FALSE,100,Berserker,4250334444,38,null,Harbinger
601,FALSE,92,Slayer,2380179658,26,null,SSF Harbinger
601,TRUE,97,Saboteur,3388345136,37,null,Hardcore Harbinger
601,FALSE,90,Slayer,2039778310,27,null,SSF Harbinger HC
602,TRUE,90,Elementalist,2039531789,36,hakeal,SSF Harbinger HC
602,FALSE,97,Ascendant,3388061672,26,null,Hardcore Harbinger
602,FALSE,92,Berserker,2379881062,28,null,SSF Harbinger
602,FALSE,100,Berserker,4250334444,31,null,Harbinger
603,TRUE,90,Trickster,2039172103,29,null,SSF Harbinger HC
603,FALSE,100,Ascendant,4250334444,38,null,Harbinger
603,TRUE,97,Necromancer,3387845318,35,null,Hardcore Harbinger
603,FALSE,92,Berserker,2379070293,31,null,SSF Harbinger
604,FALSE,97,Necromancer,3387754399,31,null,Hardcore Harbinger
604,FALSE,92,Assassin,2378885011,29,null,SSF Harbinger
604,FALSE,100,Necromancer,4250334444,26,jasdemi,Harbinger
604,FALSE,90,Inquisitor,2039170112,40,patsche1337,SSF Harbinger HC
605,FALSE,100,Slayer,4250334444,40,null,Harbinger
605,TRUE,97,Chieftain,3385493604,33,null,Hardcore Harbinger
605,FALSE,90,Gladiator,2038886129,18,m4ntisatjsp,SSF Harbinger HC
605,FALSE,92,Necromancer,2378175776,32,null,SSF Harbinger
606,TRUE,97,Necromancer,3384912892,36,nozdormew,Hardcore Harbinger
606,TRUE,90,Inquisitor,2037763601,25,null,SSF Harbinger HC
606,FALSE,100,Necromancer,4250334444,40,null,Harbinger
606,FALSE,92,Necromancer,2376980989,36,null,SSF Harbinger
607,FALSE,97,Berserker,3384619786,30,dememoire,Hardcore Harbinger
607,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
607,FALSE,92,Occultist,2373015196,26,null,SSF Harbinger
607,FALSE,90,Necromancer,2035165163,23,null,SSF Harbinger HC
608,FALSE,92,Slayer,2371338387,27,null,SSF Harbinger
608,TRUE,97,Juggernaut,3383992263,37,null,Hardcore Harbinger
608,FALSE,90,Necromancer,2033339689,40,chronologisttv,SSF Harbinger HC
608,FALSE,100,Slayer,4250334444,32,null,Harbinger
609,TRUE,97,Berserker,3382734832,29,wmd221,Hardcore Harbinger
609,FALSE,92,Necromancer,2370930964,21,null,SSF Harbinger
609,TRUE,90,Berserker,2032237546,28,shamostv,SSF Harbinger HC
609,FALSE,100,Berserker,4250334444,40,null,Harbinger
610,TRUE,90,Slayer,2031864234,40,etti_e,SSF Harbinger HC
610,FALSE,100,Pathfinder,4250334444,32,null,Harbinger
610,FALSE,92,Hierophant,2370643825,25,null,SSF Harbinger
610,TRUE,97,Ascendant,3382063828,36,null,Hardcore Harbinger
611,TRUE,97,Ascendant,3381154017,28,nokieka,Hardcore Harbinger
611,FALSE,92,Gladiator,2370152873,25,null03,SSF Harbinger
611,FALSE,90,Berserker,2031706439,24,null,SSF Harbinger HC
611,FALSE,100,Pathfinder,4250334444,40,mrn55,Harbinger
612,FALSE,90,Elementalist,2031312313,28,serenitya1988,SSF Harbinger HC
612,FALSE,100,Pathfinder,4250334444,40,canadaroxgh,Harbinger
612,TRUE,97,Necromancer,3380273747,36,hexingcurse,Hardcore Harbinger
612,FALSE,92,Chieftain,2369913136,26,null,SSF Harbinger
613,TRUE,97,Occultist,3379798546,37,null,Hardcore Harbinger
613,FALSE,92,Necromancer,2366392052,28,plodez,SSF Harbinger
613,FALSE,100,Slayer,4250334444,40,null,Harbinger
613,TRUE,90,Champion,2030251349,28,null,SSF Harbinger HC
614,FALSE,97,Slayer,3377726374,36,zigzog,Hardcore Harbinger
614,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
614,FALSE,92,Slayer,2362519993,29,null,SSF Harbinger
614,FALSE,90,Ascendant,2029906241,19,urboyjc,SSF Harbinger HC
615,FALSE,90,Slayer,2029467455,37,null,SSF Harbinger HC
615,FALSE,97,Gladiator,3373954648,36,null,Hardcore Harbinger
615,FALSE,92,Necromancer,2362078506,36,null,SSF Harbinger
615,FALSE,100,Necromancer,4250334444,29,null,Harbinger
616,FALSE,90,Necromancer,2027713611,23,null,SSF Harbinger HC
616,FALSE,100,Slayer,4250334444,36,null,Harbinger
616,FALSE,92,Deadeye,2361872387,27,null,SSF Harbinger
616,TRUE,97,Gladiator,3373260560,26,null,Hardcore Harbinger
617,FALSE,100,Pathfinder,4250334444,37,cutedog_,Harbinger
617,FALSE,92,Raider,2359906522,23,null,SSF Harbinger
617,TRUE,90,Slayer,2025412289,18,null,SSF Harbinger HC
617,FALSE,97,Necromancer,3372940173,26,nheowitzki,Hardcore Harbinger
618,TRUE,97,Inquisitor,3372736848,23,null,Hardcore Harbinger
618,FALSE,100,Necromancer,4250334444,34,minty_draish,Harbinger
618,TRUE,90,Slayer,2025148739,25,flume_,SSF Harbinger HC
618,FALSE,92,Berserker,2359504967,35,null,SSF Harbinger
619,FALSE,92,Ascendant,2359010560,28,null,SSF Harbinger
619,FALSE,100,Berserker,4250334444,36,null,Harbinger
619,TRUE,97,Chieftain,3371978428,40,null,Hardcore Harbinger
619,TRUE,90,Necromancer,2024899195,25,null,SSF Harbinger HC
620,FALSE,92,Raider,2358283332,23,null,SSF Harbinger
620,FALSE,100,Raider,4250334444,37,null,Harbinger
620,TRUE,90,Gladiator,2024406747,27,null,SSF Harbinger HC
620,TRUE,97,Raider,3370537763,25,null,Hardcore Harbinger
621,FALSE,100,Pathfinder,4250334444,38,null,Harbinger
621,TRUE,90,Trickster,2023503656,30,null,SSF Harbinger HC
621,FALSE,92,Slayer,2354364875,26,null,SSF Harbinger
621,TRUE,97,Gladiator,3369744163,35,null,Hardcore Harbinger
622,FALSE,100,Necromancer,4250334444,40,rawpwnzl87,Harbinger
622,TRUE,90,Berserker,2023112614,26,titiw24,SSF Harbinger HC
622,FALSE,97,Berserker,3369575479,36,null,Hardcore Harbinger
622,FALSE,92,Slayer,2354077379,29,null,SSF Harbinger
623,FALSE,90,Juggernaut,2022642847,31,null,SSF Harbinger HC
623,FALSE,92,Gladiator,2353883440,24,luka_wars,SSF Harbinger
623,FALSE,100,Pathfinder,4250334444,29,null,Harbinger
623,FALSE,97,Slayer,3369571050,40,systemmememe,Hardcore Harbinger
624,TRUE,97,Gladiator,3369531340,38,layban,Hardcore Harbinger
624,FALSE,92,Trickster,2351538600,28,null,SSF Harbinger
624,TRUE,90,Pathfinder,2022134059,28,picklemancer,SSF Harbinger HC
624,FALSE,100,Raider,4250334444,36,null,Harbinger
625,FALSE,100,Berserker,4250334444,40,null,Harbinger
625,FALSE,92,Chieftain,2349638242,29,null,SSF Harbinger
625,FALSE,97,Necromancer,3367195742,27,null,Hardcore Harbinger
625,FALSE,90,Necromancer,2020651420,20,dermaki,SSF Harbinger HC
626,FALSE,97,Berserker,3365519218,38,mullerpdo,Hardcore Harbinger
626,FALSE,100,Raider,4250334444,26,null,Harbinger
626,TRUE,90,Berserker,2018902115,20,zuki_cz,SSF Harbinger HC
626,FALSE,92,Ascendant,2349481502,31,null,SSF Harbinger
627,FALSE,92,Trickster,2348639817,27,null,SSF Harbinger
627,TRUE,90,Saboteur,2016889496,27,null,SSF Harbinger HC
627,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
627,FALSE,97,Berserker,3365069507,34,coolgav,Hardcore Harbinger
628,FALSE,100,Berserker,4250334444,40,null,Harbinger
628,FALSE,97,Inquisitor,3364843271,37,blarghtown,Hardcore Harbinger
628,FALSE,92,Inquisitor,2347267581,21,null,SSF Harbinger
628,TRUE,90,Trickster,2014887722,28,null,SSF Harbinger HC
629,TRUE,97,Gladiator,3364828162,15,null,Hardcore Harbinger
629,FALSE,92,Berserker,2347035787,25,null,SSF Harbinger
629,FALSE,100,Pathfinder,4250334444,30,null,Harbinger
629,TRUE,90,Gladiator,2013342325,25,haxbeard,SSF Harbinger HC
630,TRUE,97,Gladiator,3364828162,36,null,Hardcore Harbinger
630,TRUE,90,Gladiator,2011958339,25,null,SSF Harbinger HC
630,FALSE,92,Berserker,2346684240,27,brutsynn,SSF Harbinger
630,FALSE,100,Guardian,4250334444,23,null,Harbinger
631,TRUE,97,Berserker,3364828162,20,blubla1,Hardcore Harbinger
631,FALSE,92,Slayer,2346639593,31,null,SSF Harbinger
631,FALSE,100,Deadeye,4250334444,40,null,Harbinger
631,FALSE,90,Gladiator,2011077364,23,null,SSF Harbinger HC
632,TRUE,90,Gladiator,2010887384,24,null,SSF Harbinger HC
632,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
632,TRUE,97,Guardian,3364828162,36,null,Hardcore Harbinger
632,FALSE,92,Necromancer,2345884328,33,null,SSF Harbinger
633,FALSE,92,Occultist,2345116471,40,null,SSF Harbinger
633,TRUE,97,Necromancer,3364828162,36,null,Hardcore Harbinger
633,TRUE,90,Champion,2010154966,22,null,SSF Harbinger HC
633,FALSE,100,Ascendant,4250334444,40,null,Harbinger
634,FALSE,100,Juggernaut,4250334444,37,contraxlol,Harbinger
634,TRUE,90,Raider,2009841721,18,onlysunny,SSF Harbinger HC
634,TRUE,97,Occultist,3364828162,36,null,Hardcore Harbinger
634,FALSE,92,Hierophant,2344989153,24,null,SSF Harbinger
635,TRUE,90,Trickster,2009467056,23,null,SSF Harbinger HC
635,FALSE,100,Pathfinder,4250334444,36,oxyox,Harbinger
635,FALSE,92,Slayer,2343874518,30,the_fortuna1220,SSF Harbinger
635,TRUE,97,Inquisitor,3364828162,29,null,Hardcore Harbinger
636,FALSE,92,Trickster,2342536764,37,null,SSF Harbinger
636,FALSE,90,Raider,2009410431,27,null,SSF Harbinger HC
636,TRUE,97,Raider,3364828162,29,aonik0,Hardcore Harbinger
636,FALSE,100,Pathfinder,4250334444,28,null,Harbinger
637,TRUE,97,Necromancer,3364828162,36,null,Hardcore Harbinger
637,FALSE,90,Gladiator,2009241440,25,null,SSF Harbinger HC
637,FALSE,100,Necromancer,4250334444,33,null,Harbinger
637,FALSE,92,Slayer,2340357209,30,null,SSF Harbinger
638,FALSE,92,Berserker,2340147702,24,derdurgon,SSF Harbinger
638,TRUE,97,Inquisitor,3364828162,36,null,Hardcore Harbinger
638,FALSE,100,Deadeye,4250334444,40,lunaa1107,Harbinger
638,FALSE,90,Elementalist,2009178055,24,markmah,SSF Harbinger HC
639,TRUE,97,Gladiator,3364828162,31,null,Hardcore Harbinger
639,FALSE,100,Berserker,4250334444,37,null,Harbinger
639,FALSE,90,Slayer,2009141238,32,null,SSF Harbinger HC
639,FALSE,92,Berserker,2339334205,39,walkingancient,SSF Harbinger
640,FALSE,92,Gladiator,2337696869,30,null,SSF Harbinger
640,TRUE,97,Juggernaut,3364828162,36,pederzen,Hardcore Harbinger
640,TRUE,90,Trickster,2009046985,21,null,SSF Harbinger HC
640,FALSE,100,Elementalist,4250334444,40,null,Harbinger
641,TRUE,97,Ascendant,3364828162,25,tomwilliamsisachillbro,Hardcore Harbinger
641,FALSE,92,Necromancer,2336997147,26,null,SSF Harbinger
641,FALSE,100,Pathfinder,4250334444,38,null,Harbinger
641,FALSE,90,Gladiator,2009038566,25,null,SSF Harbinger HC
642,FALSE,100,Slayer,4250334444,36,erajin,Harbinger
642,TRUE,90,Occultist,2008641203,31,kanelife,SSF Harbinger HC
642,TRUE,97,Slayer,3364828162,40,null,Hardcore Harbinger
642,FALSE,92,Chieftain,2336862613,26,null,SSF Harbinger
643,TRUE,97,Inquisitor,3364828162,26,superpewbs,Hardcore Harbinger
643,FALSE,100,Necromancer,4250334444,37,null,Harbinger
643,FALSE,90,Juggernaut,2007719115,32,null,SSF Harbinger HC
643,FALSE,92,Ascendant,2335522794,30,null,SSF Harbinger
644,TRUE,97,Gladiator,3364828162,36,null,Hardcore Harbinger
644,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
644,FALSE,92,Ascendant,2335226384,28,null,SSF Harbinger
644,TRUE,90,Ascendant,2007593135,23,null,SSF Harbinger HC
645,TRUE,97,Champion,3364828162,37,null,Hardcore Harbinger
645,TRUE,90,Necromancer,2006085366,26,null,SSF Harbinger HC
645,FALSE,100,Deadeye,4250334444,40,null,Harbinger
645,FALSE,92,Pathfinder,2332956762,26,p_e_z,SSF Harbinger
646,FALSE,92,Occultist,2332796409,34,turbowatt,SSF Harbinger
646,FALSE,90,Slayer,2004867184,23,null,SSF Harbinger HC
646,TRUE,97,Chieftain,3364828162,36,null,Hardcore Harbinger
646,FALSE,100,Raider,4250334444,40,null,Harbinger
647,FALSE,92,Ascendant,2332645348,28,null,SSF Harbinger
647,TRUE,97,Guardian,3364828162,40,null,Hardcore Harbinger
647,FALSE,100,Berserker,4250334444,36,sibourboulos,Harbinger
647,TRUE,90,Trickster,2003482120,21,null,SSF Harbinger HC
648,TRUE,90,Slayer,2002456777,25,igibek,SSF Harbinger HC
648,FALSE,92,Gladiator,2330373093,26,null,SSF Harbinger
648,FALSE,100,Ascendant,4250334444,40,null,Harbinger
648,FALSE,96,Slayer,3360884959,39,null,Hardcore Harbinger
649,FALSE,100,Necromancer,4250334444,31,usererrorgille,Harbinger
649,FALSE,92,Trickster,2329916157,25,null,SSF Harbinger
649,FALSE,90,Berserker,2001354677,26,null,SSF Harbinger HC
649,FALSE,96,Raider,3356796851,24,orbnaticus,Hardcore Harbinger
650,FALSE,100,Raider,4250334444,40,null,Harbinger
650,TRUE,90,Gladiator,1999663928,24,null,SSF Harbinger HC
650,FALSE,96,Ascendant,3349561266,36,null,Hardcore Harbinger
650,FALSE,92,Trickster,2329666494,27,null,SSF Harbinger
651,FALSE,96,Necromancer,3346851154,38,inappropriatecommentguy,Hardcore Harbinger
651,FALSE,92,Gladiator,2329450021,28,shyrk,SSF Harbinger
651,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
651,TRUE,90,Chieftain,1999287385,24,null,SSF Harbinger HC
652,FALSE,90,Inquisitor,1999031673,20,null,SSF Harbinger HC
652,TRUE,96,Trickster,3335135619,20,null,Hardcore Harbinger
652,FALSE,92,Berserker,2328927634,27,null,SSF Harbinger
652,FALSE,100,Berserker,4250334444,39,null,Harbinger
653,TRUE,90,Berserker,1998822685,20,null,SSF Harbinger HC
653,FALSE,100,Berserker,4250334444,38,null,Harbinger
653,FALSE,96,Hierophant,3333865050,27,null,Hardcore Harbinger
653,FALSE,92,Gladiator,2327738651,23,null,SSF Harbinger
654,FALSE,90,Trickster,1998099364,19,samtu1739,SSF Harbinger HC
654,TRUE,96,Guardian,3333509296,35,boemboemboemboem,Hardcore Harbinger
654,FALSE,92,Trickster,2327719893,26,null,SSF Harbinger
654,FALSE,100,Elementalist,4250334444,32,poelove,Harbinger
655,FALSE,100,Raider,4250334444,28,null,Harbinger
655,FALSE,92,Raider,2325145127,27,null,SSF Harbinger
655,FALSE,90,Gladiator,1997829188,32,null,SSF Harbinger HC
655,FALSE,96,Berserker,3332020275,32,null,Hardcore Harbinger
656,FALSE,100,Juggernaut,4250334444,40,joystickerr,Harbinger
656,FALSE,96,Chieftain,3331919914,36,null,Hardcore Harbinger
656,TRUE,90,Gladiator,1997388167,20,null,SSF Harbinger HC
656,FALSE,92,Chieftain,2324027364,28,null,SSF Harbinger
657,TRUE,90,Berserker,1993704657,20,travexx,SSF Harbinger HC
657,FALSE,100,Raider,4250334444,32,null,Harbinger
657,FALSE,92,Necromancer,2323346792,23,awemyu,SSF Harbinger
657,FALSE,96,Necromancer,3330985227,37,null,Hardcore Harbinger
658,FALSE,92,Raider,2322777909,36,null,SSF Harbinger
658,TRUE,96,Gladiator,3329439352,26,null,Hardcore Harbinger
658,FALSE,100,Pathfinder,4250334444,40,brave_b0obs,Harbinger
658,TRUE,90,Slayer,1993625859,23,null,SSF Harbinger HC
659,FALSE,92,Occultist,2322530870,20,frayadw,SSF Harbinger
659,FALSE,100,Necromancer,4250334444,40,im1322837,Harbinger
659,TRUE,90,Necromancer,1992854162,33,null,SSF Harbinger HC
659,FALSE,96,Necromancer,3324554111,35,austhern,Hardcore Harbinger
660,FALSE,92,Berserker,2322059749,23,kionius,SSF Harbinger
660,TRUE,96,Saboteur,3324404430,40,windz0099,Hardcore Harbinger
660,FALSE,100,Juggernaut,4250334444,40,yourtoe,Harbinger
660,FALSE,90,Hierophant,1992449897,40,null,SSF Harbinger HC
661,TRUE,96,Necromancer,3324282208,31,null,Hardcore Harbinger
661,FALSE,100,Pathfinder,4250334444,37,yaminichi,Harbinger
661,TRUE,90,Gladiator,1991845389,22,loltheduck,SSF Harbinger HC
661,FALSE,92,Juggernaut,2321820957,32,null,SSF Harbinger
662,TRUE,96,Gladiator,3323392748,28,barnyang,Hardcore Harbinger
662,TRUE,90,Raider,1989932907,25,firestigma,SSF Harbinger HC
662,FALSE,92,Necromancer,2320466320,22,whatamiracle,SSF Harbinger
662,FALSE,100,Pathfinder,4250334444,36,simonthadon,Harbinger
663,FALSE,100,Pathfinder,4250334444,23,null,Harbinger
663,TRUE,90,Necromancer,1988364623,25,null,SSF Harbinger HC
663,TRUE,96,Raider,3318679465,27,null,Hardcore Harbinger
663,FALSE,92,Pathfinder,2320277815,29,null,SSF Harbinger
664,FALSE,92,Necromancer,2320162293,21,null,SSF Harbinger
664,TRUE,96,Gladiator,3318025011,36,whodrankmybeer,Hardcore Harbinger
664,TRUE,90,Guardian,1988322867,22,null,SSF Harbinger HC
664,FALSE,100,Raider,4250334444,40,null,Harbinger
665,TRUE,90,Necromancer,1984856859,17,null,SSF Harbinger HC
665,FALSE,96,Berserker,3317434095,37,tslt,Hardcore Harbinger
665,FALSE,100,Raider,4250334444,40,darkbr00d,Harbinger
665,FALSE,92,Raider,2319537732,31,rosmaks,SSF Harbinger
666,TRUE,90,Trickster,1984831662,31,nugiyen,SSF Harbinger HC
666,FALSE,96,Juggernaut,3316382051,33,richard_fox,Hardcore Harbinger
666,FALSE,92,Raider,2319143319,32,null,SSF Harbinger
666,FALSE,100,Pathfinder,4250334444,30,null,Harbinger
667,FALSE,96,Necromancer,3316128535,32,null,Hardcore Harbinger
667,TRUE,90,Necromancer,1984565485,23,null,SSF Harbinger HC
667,FALSE,100,Berserker,4250334444,33,null,Harbinger
667,FALSE,92,Trickster,2318397367,37,arche00,SSF Harbinger
668,FALSE,92,Necromancer,2317272745,40,waskely,SSF Harbinger
668,FALSE,100,Pathfinder,4250334444,40,shervinator22,Harbinger
668,TRUE,96,Inquisitor,3312037820,36,petudy,Hardcore Harbinger
668,TRUE,90,Trickster,1983394212,25,null,SSF Harbinger HC
669,FALSE,100,Inquisitor,4250334444,40,null,Harbinger
669,FALSE,92,Champion,2316579881,28,null,SSF Harbinger
669,TRUE,90,Inquisitor,1982547183,26,null,SSF Harbinger HC
669,FALSE,96,Pathfinder,3311415262,40,null,Hardcore Harbinger
670,FALSE,100,Necromancer,4250334444,40,sircrowley90,Harbinger
670,TRUE,96,Ascendant,3310283725,27,sigginat0r,Hardcore Harbinger
670,TRUE,90,Hierophant,1982366192,25,null,SSF Harbinger HC
670,FALSE,92,Assassin,2316165456,39,null,SSF Harbinger
671,FALSE,100,Berserker,4250334444,40,shepherdd35,Harbinger
671,FALSE,90,Necromancer,1981957495,26,null,SSF Harbinger HC
671,FALSE,92,Slayer,2315996438,26,jeixs,SSF Harbinger
672,TRUE,90,Saboteur,1981426167,40,no1nfoprovided,SSF Harbinger HC
672,FALSE,100,Necromancer,4250334444,40,null,Harbinger
672,TRUE,96,Chieftain,3307560974,29,null,Hardcore Harbinger
672,FALSE,92,Slayer,2315121170,30,svartos,SSF Harbinger
673,FALSE,100,Gladiator,4250334444,40,null,Harbinger
673,TRUE,96,Inquisitor,3306860878,27,veeperzee,Hardcore Harbinger
673,FALSE,92,Gladiator,2314703431,27,null,SSF Harbinger
673,TRUE,90,Necromancer,1980721963,37,null,SSF Harbinger HC
674,TRUE,96,Trickster,3306531259,36,dylanpiou,Hardcore Harbinger
674,FALSE,92,Necromancer,2313914717,28,null,SSF Harbinger
674,FALSE,100,Berserker,4250334444,40,null,Harbinger
674,FALSE,90,Raider,1980204697,24,null,SSF Harbinger HC
675,TRUE,96,Necromancer,3304417660,35,guccipradas,Hardcore Harbinger
675,FALSE,92,Gladiator,2313872226,24,null,SSF Harbinger
675,TRUE,90,Slayer,1980196046,33,zhatun,SSF Harbinger HC
675,FALSE,100,Saboteur,4250334444,40,w84urdeath,Harbinger
676,FALSE,100,Necromancer,4250334444,29,null,Harbinger
676,TRUE,96,Guardian,3303242387,39,null,Hardcore Harbinger
676,FALSE,92,Slayer,2312527382,23,null,SSF Harbinger
676,FALSE,90,Slayer,1979833169,31,null,SSF Harbinger HC
677,FALSE,92,Berserker,2312257678,31,null,SSF Harbinger
677,TRUE,90,Necromancer,1977458733,23,null,SSF Harbinger HC
677,FALSE,96,Gladiator,3303049567,34,theease,Hardcore Harbinger
677,FALSE,100,Raider,4250334444,40,null,Harbinger
678,FALSE,96,Necromancer,3302856603,23,null,Hardcore Harbinger
678,TRUE,90,Berserker,1977282822,25,null,SSF Harbinger HC
678,FALSE,100,Pathfinder,4250334444,37,shagiwog,Harbinger
678,FALSE,92,Trickster,2312152648,24,null,SSF Harbinger
679,FALSE,96,Ascendant,3302557627,40,null,Hardcore Harbinger
679,TRUE,90,Ascendant,1977280992,31,null,SSF Harbinger HC
679,FALSE,100,Pathfinder,4250334444,40,null,Harbinger
679,FALSE,92,Gladiator,2310896052,22,null,SSF Harbinger
680,TRUE,90,Necromancer,1976914253,24,kungenidjungeln,SSF Harbinger HC
680,FALSE,92,Trickster,2308115175,26,metaltedz,SSF Harbinger
680,FALSE,100,Raider,4250334444,40,null,Harbinger
680,FALSE,96,Ascendant,3302534545,25,null,Hardcore Harbinger
681,FALSE,100,Pathfinder,4250334444,40,drgaming2017,Harbinger
681,TRUE,90,Gladiator,1975748815,23,null,SSF Harbinger HC
681,FALSE,92,Trickster,2307882660,28,null,SSF Harbinger
681,FALSE,96,Berserker,3302231377,26,null,Hardcore Harbinger
682,FALSE,90,Champion,1975674353,19,null,SSF Harbinger HC
682,TRUE,96,Pathfinder,3302210554,35,null,Hardcore Harbinger
682,FALSE,92,Trickster,2307195762,24,null,SSF Harbinger
682,FALSE,100,Juggernaut,4250334444,40,null,Harbinger
683,FALSE,100,Pathfinder,4250334444,37,null,Harbinger
683,FALSE,92,Berserker,2307123071,25,null,SSF Harbinger
683,TRUE,96,Juggernaut,3298423077,36,null,Hardcore Harbinger
683,TRUE,90,Gladiator,1975587433,24,null,SSF Harbinger HC
